x	y	key	showSelected1
1	0.606572651768005	1	15
2	1.41276500573755	2	15
2	1.41276500573755	1	16
3	1.82868586364036	3	15
3	1.82868586364036	2	16
3	1.82868586364036	1	17
4	1.98542193545375	4	15
4	1.98542193545375	3	16
4	1.98542193545375	2	17
4	1.98542193545375	1	18
5	2.69576007562931	5	15
5	2.69576007562931	4	16
5	2.69576007562931	3	17
5	2.69576007562931	2	18
5	2.69576007562931	1	19
6	0.499035836347668	6	15
6	0.499035836347668	5	16
6	0.499035836347668	4	17
6	0.499035836347668	3	18
6	0.499035836347668	2	19
6	0.499035836347668	1	20
7	1.6222419496986	7	15
7	1.6222419496986	6	16
7	1.6222419496986	5	17
7	1.6222419496986	4	18
7	1.6222419496986	3	19
7	1.6222419496986	2	20
7	1.6222419496986	1	21
8	1.31976213602479	8	15
8	1.31976213602479	7	16
8	1.31976213602479	6	17
8	1.31976213602479	5	18
8	1.31976213602479	4	19
8	1.31976213602479	3	20
8	1.31976213602479	2	21
8	1.31976213602479	1	22
9	1.67611339095739	9	15
9	1.67611339095739	8	16
9	1.67611339095739	7	17
9	1.67611339095739	6	18
9	1.67611339095739	5	19
9	1.67611339095739	4	20
9	1.67611339095739	3	21
9	1.67611339095739	2	22
9	1.67611339095739	1	23
10	1.7650244261329	10	15
10	1.7650244261329	9	16
10	1.7650244261329	8	17
10	1.7650244261329	7	18
10	1.7650244261329	6	19
10	1.7650244261329	5	20
10	1.7650244261329	4	21
10	1.7650244261329	3	22
10	1.7650244261329	2	23
10	1.7650244261329	1	24
11	0.252464502522007	11	15
11	0.252464502522007	10	16
11	0.252464502522007	9	17
11	0.252464502522007	8	18
11	0.252464502522007	7	19
11	0.252464502522007	6	20
11	0.252464502522007	5	21
11	0.252464502522007	4	22
11	0.252464502522007	3	23
11	0.252464502522007	2	24
11	0.252464502522007	1	25
12	-0.0993388033466013	12	15
12	-0.0993388033466013	11	16
12	-0.0993388033466013	10	17
12	-0.0993388033466013	9	18
12	-0.0993388033466013	8	19
12	-0.0993388033466013	7	20
12	-0.0993388033466013	6	21
12	-0.0993388033466013	5	22
12	-0.0993388033466013	4	23
12	-0.0993388033466013	3	24
12	-0.0993388033466013	2	25
12	-0.0993388033466013	1	26
13	-0.940388184911212	13	15
13	-0.940388184911212	12	16
13	-0.940388184911212	11	17
13	-0.940388184911212	10	18
13	-0.940388184911212	9	19
13	-0.940388184911212	8	20
13	-0.940388184911212	7	21
13	-0.940388184911212	6	22
13	-0.940388184911212	5	23
13	-0.940388184911212	4	24
13	-0.940388184911212	3	25
13	-0.940388184911212	2	26
13	-0.940388184911212	1	27
14	0.060438823646397	14	15
14	0.060438823646397	13	16
14	0.060438823646397	12	17
14	0.060438823646397	11	18
14	0.060438823646397	10	19
14	0.060438823646397	9	20
14	0.060438823646397	8	21
14	0.060438823646397	7	22
14	0.060438823646397	6	23
14	0.060438823646397	5	24
14	0.060438823646397	4	25
14	0.060438823646397	3	26
14	0.060438823646397	2	27
14	0.060438823646397	1	28
15	0.152960054321814	15	15
15	0.152960054321814	14	16
15	0.152960054321814	13	17
15	0.152960054321814	12	18
15	0.152960054321814	11	19
15	0.152960054321814	10	20
15	0.152960054321814	9	21
15	0.152960054321814	8	22
15	0.152960054321814	7	23
15	0.152960054321814	6	24
15	0.152960054321814	5	25
15	0.152960054321814	4	26
15	0.152960054321814	3	27
15	0.152960054321814	2	28
15	0.152960054321814	1	29
16	0.0286052700535657	15	16
16	0.0286052700535657	14	17
16	0.0286052700535657	13	18
16	0.0286052700535657	12	19
16	0.0286052700535657	11	20
16	0.0286052700535657	10	21
16	0.0286052700535657	9	22
16	0.0286052700535657	8	23
16	0.0286052700535657	7	24
16	0.0286052700535657	6	25
16	0.0286052700535657	5	26
16	0.0286052700535657	4	27
16	0.0286052700535657	3	28
16	0.0286052700535657	2	29
16	0.0286052700535657	1	30
17	-0.400466770304502	15	17
17	-0.400466770304502	14	18
17	-0.400466770304502	13	19
17	-0.400466770304502	12	20
17	-0.400466770304502	11	21
17	-0.400466770304502	10	22
17	-0.400466770304502	9	23
17	-0.400466770304502	8	24
17	-0.400466770304502	7	25
17	-0.400466770304502	6	26
17	-0.400466770304502	5	27
17	-0.400466770304502	4	28
17	-0.400466770304502	3	29
17	-0.400466770304502	2	30
17	-0.400466770304502	1	31
18	-0.842452615498417	15	18
18	-0.842452615498417	14	19
18	-0.842452615498417	13	20
18	-0.842452615498417	12	21
18	-0.842452615498417	11	22
18	-0.842452615498417	10	23
18	-0.842452615498417	9	24
18	-0.842452615498417	8	25
18	-0.842452615498417	7	26
18	-0.842452615498417	6	27
18	-0.842452615498417	5	28
18	-0.842452615498417	4	29
18	-0.842452615498417	3	30
18	-0.842452615498417	2	31
18	-0.842452615498417	1	32
19	0.407796613906413	15	19
19	0.407796613906413	14	20
19	0.407796613906413	13	21
19	0.407796613906413	12	22
19	0.407796613906413	11	23
19	0.407796613906413	10	24
19	0.407796613906413	9	25
19	0.407796613906413	8	26
19	0.407796613906413	7	27
19	0.407796613906413	6	28
19	0.407796613906413	5	29
19	0.407796613906413	4	30
19	0.407796613906413	3	31
19	0.407796613906413	2	32
19	0.407796613906413	1	33
20	-0.819672429078774	15	20
20	-0.819672429078774	14	21
20	-0.819672429078774	13	22
20	-0.819672429078774	12	23
20	-0.819672429078774	11	24
20	-0.819672429078774	10	25
20	-0.819672429078774	9	26
20	-0.819672429078774	8	27
20	-0.819672429078774	7	28
20	-0.819672429078774	6	29
20	-0.819672429078774	5	30
20	-0.819672429078774	4	31
20	-0.819672429078774	3	32
20	-0.819672429078774	2	33
20	-0.819672429078774	1	34
21	-0.716058531129727	15	21
21	-0.716058531129727	14	22
21	-0.716058531129727	13	23
21	-0.716058531129727	12	24
21	-0.716058531129727	11	25
21	-0.716058531129727	10	26
21	-0.716058531129727	9	27
21	-0.716058531129727	8	28
21	-0.716058531129727	7	29
21	-0.716058531129727	6	30
21	-0.716058531129727	5	31
21	-0.716058531129727	4	32
21	-0.716058531129727	3	33
21	-0.716058531129727	2	34
21	-0.716058531129727	1	35
22	-0.186246066902895	15	22
22	-0.186246066902895	14	23
22	-0.186246066902895	13	24
22	-0.186246066902895	12	25
22	-0.186246066902895	11	26
22	-0.186246066902895	10	27
22	-0.186246066902895	9	28
22	-0.186246066902895	8	29
22	-0.186246066902895	7	30
22	-0.186246066902895	6	31
22	-0.186246066902895	5	32
22	-0.186246066902895	4	33
22	-0.186246066902895	3	34
