x	y
15	0.541090483828147
16	0.579244174399662
17	0.57023870742176
18	0.554757596620417
19	0.445206615233098
20	0.558656336153282
21	0.580299595858394
22	0.553805037750893
23	0.363503004674527
24	0.0900423193211274
25	-0.024005914837197
26	-0.0100392277518936
27	0.222378205446873
28	0.383237395156829
29	0.241497345357223
30	0.290164482470596
31	0.386766404888504
32	0.422117033534924
33	0.554834987387206
34	0.611049261347013
35	0.598161788255453
36	0.530691600400626
37	0.659318331503561
38	0.744412360362817
39	0.680355465533578
40	0.632186238659558
41	0.534938625403799
42	0.35592381728333
43	0.513519516105096
44	0.574540590943947
45	0.590273616268655
46	0.579670667155361
47	0.605698846963582
48	0.578394305973689
49	0.613323175286573
50	0.654947096376993
51	0.658873840365768
52	0.721113983010638
53	0.852700673621708
54	0.833560241358478
55	0.796119965914224
56	0.73514391220504
57	0.691237655183693
58	0.748754658017363
59	0.823057061045198
60	0.872272458126079
61	0.906351228385389
62	0.86047565403257
63	0.849669550674767
64	0.826253764429719
65	0.781893539137086
66	0.738473647969267
67	0.67922834735563
68	0.731209696347849
69	0.750304546282822
70	0.76819749825708
71	0.71751873504389
72	0.672529669115771
73	0.514483606613025
74	0.442195169203917
75	0.354687495920088
76	0.598262110424194
77	0.554244099349669
78	0.564777401182336
79	0.523040441791502
80	0.478351588077643
81	0.49345165815035
82	0.492799607986069
83	0.463459787301992
84	0.4265624305027
85	0.301058661624483
86	0.0942292766414005
87	0.286038901506704
88	0.302193174300835
89	0.348832595275279
90	0.283332044786571
91	0.281123965338803
92	0.378008389045289
93	0.372870288107662
94	0.508749937249334
95	0.490017943398587
96	0.493778917450062
97	0.494645115226061
98	0.423610224276308
99	0.369480713080894
100	0.327331900418766
